product,date_time,external_measurement_weight,height_avg
5.5 oz Tenderloin A,2024-06-03 10:49:28,5.26,2.60138
5.5 oz Tenderloin A,2024-06-03 10:49:38,5.56,1.15009
5.5 oz Tenderloin A,2024-06-03 10:49:48,5.66,1.18909
5.5 oz Tenderloin A,2024-06-03 10:49:57,5.7,1.61153
5.5 oz Tenderloin A,2024-06-03 10:50:04,5.7,1.1098
5.5 oz Tenderloin A,2024-06-03 10:50:12,5.56,1.39129
5.5 oz Tenderloin A,2024-06-03 10:50:21,5.3,1.04024
5.5 oz Tenderloin A,2024-06-03 10:50:31,5.66,1.59788
5.5 oz Tenderloin A,2024-06-03 10:50:40,5.6,1.42619
5.5 oz Tenderloin A,2024-06-03 10:50:54,5.7,1.6024
5.5 oz Tenderloin A,2024-06-03 10:51:02,5.44,2.52943
5.5 oz Tenderloin A,2024-06-03 10:51:11,5.64,1.12427
5.5 oz Tenderloin A,2024-06-03 10:51:22,5.62,1.44948
5.5 oz Tenderloin A,2024-06-03 10:51:30,5.54,2.08481
5.5 oz Tenderloin A,2024-06-03 10:51:38,5.54,2.30366
5.5 oz Tenderloin A,2024-06-03 10:51:48,5.7,2.04234
5.5 oz Tenderloin A,2024-06-03 10:51:57,5.42,1.25295
5.5 oz Tenderloin A,2024-06-03 10:52:05,5.68,1.03967
5.5 oz Tenderloin A,2024-06-03 10:52:12,5.62,1.25272
5.5 oz Tenderloin A,2024-06-03 10:52:20,5.74,1.26928
5.5 oz Tenderloin A,2024-06-03 10:53:05,5.74,1.29335
5.5 oz Tenderloin A,2024-06-03 10:53:13,5.64,2.42758
5.5 oz Tenderloin A,2024-06-03 10:53:19,5.46,1.49151
5.5 oz Tenderloin A,2024-06-03 10:53:31,5.62,1.16878
5.5 oz Tenderloin A,2024-06-03 10:53:39,5.44,1.57134
5.5 oz Tenderloin A,2024-06-03 10:53:47,5.36,2.18039
5.5 oz Tenderloin A,2024-06-03 10:53:56,5.36,2.18985
5.5 oz Tenderloin A,2024-06-03 10:54:04,5.44,1.09263
5.5 oz Tenderloin A,2024-06-03 10:54:35,5.38,2.24448
5.5 oz Tenderloin A,2024-06-03 10:54:44,5.78,1.29214
5.5 oz Tenderloin A,2024-06-03 10:54:53,5.46,1.07856
5.5 oz Tenderloin A,2024-06-03 10:55:01,5.42,1.50417
5.5 oz Tenderloin A,2024-06-03 10:55:09,5.54,1.62104
5.5 oz Tenderloin A,2024-06-03 10:55:17,5.76,1.1893
5.5 oz Tenderloin A,2024-06-03 10:55:24,5.56,1.28278
5.5 oz Tenderloin A,2024-06-03 10:55:32,5.38,1.83547
5.5 oz Tenderloin A,2024-06-03 10:55:40,5.72,1.73365
5.5 oz Tenderloin A,2024-06-03 10:55:50,5.34,0.925918
5.5 oz Tenderloin A,2024-06-03 10:56:21,5.8,1.36504
5.5 oz Tenderloin A,2024-06-03 10:56:46,5.36,2.17176
5.5 oz Tenderloin A,2024-06-03 10:56:55,5.72,1.58108
5.5 oz Tenderloin A,2024-06-03 10:57:03,5.922,2.2601
5.5 oz Tenderloin A,2024-06-03 10:57:12,5.7,1.28987
5.5 oz Tenderloin A,2024-06-03 10:57:23,5.68,1.94752
5.5 oz Tenderloin A,2024-06-03 10:57:31,5.82,1.47475
5.5 oz Tenderloin A,2024-06-03 10:57:39,5.74,1.10407
5.5 oz Tenderloin A,2024-06-03 10:58:14,5.56,1.04024
5.5 oz Tenderloin A,2024-06-03 10:58:21,5.24,1.46323
5.5 oz Tenderloin A,2024-06-03 10:58:30,5.23,1.15807
5.5 oz Tenderloin A,2024-06-03 10:58:37,5.62,2.18626
5.5 oz Tenderloin A,2024-06-03 10:58:45,5.66,1.09084
5.5 oz Tenderloin A,2024-06-03 10:58:52,5.38,1.34155
5.5 oz Tenderloin A,2024-06-03 10:59:23,5.44,1.02664
5.5 oz Tenderloin A,2024-06-03 10:59:33,5.56,1.30403
5.5 oz Tenderloin A,2024-06-03 10:59:52,5.5,2.07478
5.5 oz Tenderloin A,2024-06-03 11:00:01,5.24,1.04569
5.5 oz Tenderloin A,2024-06-03 11:00:09,5.48,2.2466
